,title,company,location,salary,summary
393,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
394,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
395,Concepteur logiciel C++ : Intelligence artificiell,Matrox,"Dorval, QC•Temporarily Remote",,"La division d’imagerie chez Matrox vous offre l’occasion de contribuer à l’amélioration du Matrox Imaging Library (MIL).Français, anglais (écrit et parlé)."
396,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
397,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
398,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
399,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
400,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
401,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
402,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
403,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
404,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
405,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
406,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
407,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
408,"Data Scientist, Machine Learning",Carta,"Waterloo, ON",,You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality.
409,Data Scientist,Vretta Inc.,"Toronto, ON•Remote",,"At least three years of experience in an applied data science role.Demonstrated statistical, machine learning, and data science skills."
410,Data Scientist Inter,Nestlé,"North York, ON",,"Will explore data, answering questions and finding new business opportunities.Experience with data visualization tools is a plus (QlikView, Microsoft BI)."
411,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
412,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
413,Data Engineer / ML Engineer,GrantMatch Corp.,"Toronto, ON•Remote","$80,000 a year",Create a comprehensive data catalogue of this financial data.SQL/PostgreSQL and data model design (logical & physical data models).
414,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
415,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
416,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
417,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
418,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
419,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
420,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
421,Data Scientist,apptoza inc,"Toronto, ON•Temporarily Remote",,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.Extract data from multiple sources.
422,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
423,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
424,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
425,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
426,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
427,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
428,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
429,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
430,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
431,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
432,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
433,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
434,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
435,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
436,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
437,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
438,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
439,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
440,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
441,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
442,Computer Vision Scientist,Nexera Robotics Corp,"North Vancouver, BC","$65,000 - $130,000 a year",Analyze data based on test results to provide optimizations for the test.Determine suitable data collection methods to optimize for possible AI algorithms and…
443,Senior Data Analyst,TELUS Communications,Ontario•Temporarily Remote,$80 an hour,Strong analytical skills to pull insights from quantitative and qualitative data sets.Comfortable with manipulating data BI tools.
444,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
445,NLP Scientist,Alexsei,"Toronto, ON•Remote","$110,000 - $150,000 a year","We've developed a state-of-the-art, cloud-native, fully-scalable, experimental infrastructure that allows for rapid iterative experimentation, both model…"
446,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
447,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
448,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
449,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
450,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
451,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
452,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
453,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
454,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
455,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
456,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
457,AI Team Lead,Heyday AI,"Montréal, QC•Remote",,Heyday is on a mission to revolutionize retail by bringing the in-store experience to the favourite messaging channels of every type of customer.
458,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
459,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
460,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
461,NLP Scientist,Alexsei,"Toronto, ON•Remote","$110,000 - $150,000 a year","We've developed a state-of-the-art, cloud-native, fully-scalable, experimental infrastructure that allows for rapid iterative experimentation, both model…"
462,Computer Vision Engineer,(AI)RM Consulting Ltd.,"Winnipeg, MB•Remote","$75,000 - $115,000 a year","Translate business requirements into conceptual, logical, and physical data models.Collaborate with product managers, software engineers, and engineering data…"
463,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
464,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
465,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
466,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
467,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
468,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
469,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
470,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
471,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
472,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
473,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
474,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
475,Data Engineer / ML Engineer,GrantMatch Corp.,"Toronto, ON•Remote","$80,000 a year",Create a comprehensive data catalogue of this financial data.SQL/PostgreSQL and data model design (logical & physical data models).
476,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
477,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
478,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
479,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
480,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
481,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
482,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
483,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
484,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
485,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
486,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
487,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
488,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
489,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
490,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
491,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
492,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
493,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
494,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
495,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
496,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
497,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
498,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
499,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
500,Data Science - Trading,CPQi,"Toronto, ON+1 location","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
501,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
502,"Data Scientist, Machine Learning",Carta,"Waterloo, ON",,You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality.
503,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
504,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
505,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
506,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
507,Data Scientist - Vretta Inc.,The Career Foundation,"Toronto, ON",,"Demonstrated statistical, machine learning, and data science skills.Must have at least three years of experience in an applied data science role."
508,Data Scientist,apptoza inc,"Toronto, ON•Temporarily Remote",,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.Extract data from multiple sources.
509,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
510,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
511,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
512,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
513,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
514,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
515,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
516,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
517,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
518,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
519,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
520,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
521,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
522,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
523,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
524,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
525,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
526,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
527,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
528,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
529,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
530,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
531,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
532,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
533,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
534,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
535,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
536,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
537,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
538,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
539,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
540,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
541,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
542,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
543,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
544,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
